name,expression,index,module_id,module_index,comment,external_requirement/0/name,external_requirement/0/bx_offset,external_requirement/1/name,external_requirement/1/bx_offset,cut/0/name,cut/0/object,cut/0/type,cut/0/minimum,cut/0/maximum,cut/0/data,cut/0/comment,cut/1/name,cut/1/object,cut/1/type,cut/1/minimum,cut/1/maximum,cut/1/data,cut/1/comment,cut/2/name,cut/2/object,cut/2/type,cut/2/minimum,cut/2/maximum,cut/2/data,cut/2/comment,cut/3/name,cut/3/object,cut/3/type,cut/3/minimum,cut/3/maximum,cut/3/data,cut/4/name,cut/4/object,cut/4/type,cut/4/minimum,cut/4/maximum,cut/4/data,object_requirement/0/name,object_requirement/0/type,object_requirement/0/comparison_operator,object_requirement/0/threshold,object_requirement/0/bx_offset,object_requirement/1/name,object_requirement/1/type,object_requirement/1/comparison_operator,object_requirement/1/threshold,object_requirement/1/bx_offset,cut/5/name,cut/5/object,cut/5/type,cut/5/minimum,cut/5/maximum,cut/5/data,object_requirement/2/name,object_requirement/2/type,object_requirement/2/comparison_operator,object_requirement/2/threshold,object_requirement/2/bx_offset,object_requirement/3/name,object_requirement/3/type,object_requirement/3/comparison_operator,object_requirement/3/threshold,object_requirement/3/bx_offset,cut/3/comment,external_requirement/2/name,external_requirement/2/bx_offset,external_requirement/3/name,external_requirement/3/bx_offset,external_requirement/4/name,external_requirement/4/bx_offset,object_requirement/4/name,object_requirement/4/type,object_requirement/4/comparison_operator,object_requirement/4/threshold,object_requirement/4/bx_offset
L1_TripleMu_5OQ_3p5OQ_2p5OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17,"comb{MU5[MU-QLTY_OPEN],MU3p5[MU-QLTY_OPEN],MU2p5[MU-QLTY_OPEN]} AND mass_inv{MU5[MU-QLTY_OPEN],MU2p5[MU-QLTY_OPEN]}[MASS_MASS_5to17,CHGCOR_OS] AND ( NOT mass_inv{MU2p5[MU-QLTY_OPEN],MU3p5[MU-QLTY_OPEN]}[MASS_MASS_20toINF])",404,1,79,https://its.cern.ch/jira/browse/CMSLITDPG-237,,,,,MU-QLTY_OPEN,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"4,5,6,7,8,9,10,11,12,13,14,15",,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MASS_MASS_20toINF,,MASS,+2.0000000000000000E+01,+1.5198200000000000E+05,,,MASS_MASS_5to17,,MASS,+5.0000000000000000E+00,+1.7000000000000000E+01,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU2p5,MU,.ge.,+2.5000000000000000E+00,0,,,,,,,MU3p5,MU,.ge.,+3.5000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5OQ_3p5OQ_2p5OQ_DoubleMu_5_2p5_OQ_OS_Mass_8to14,"comb{MU5[MU-QLTY_OPEN],MU3p5[MU-QLTY_OPEN],MU2p5[MU-QLTY_OPEN]} AND mass_inv{MU5[MU-QLTY_OPEN],MU2p5[MU-QLTY_OPEN]}[MASS_MASS_8to14,CHGCOR_OS] AND ( NOT mass_inv{MU2p5[MU-QLTY_OPEN],MU3p5[MU-QLTY_OPEN]}[MASS_MASS_20toINF])",403,1,80,https://its.cern.ch/jira/browse/CMSLITDPG-237,,,,,MU-QLTY_OPEN,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"4,5,6,7,8,9,10,11,12,13,14,15",,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MASS_MASS_8to14,,MASS,+8.0000000000000000E+00,+1.4000000000000000E+01,,,MASS_MASS_20toINF,,MASS,+2.0000000000000000E+01,+1.5198200000000000E+05,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU2p5,MU,.ge.,+2.5000000000000000E+00,0,,,,,,,MU3p5,MU,.ge.,+3.5000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5SQ_3SQ_0OQ,"comb{MU5[MU-QLTY_SNGL],MU3[MU-QLTY_SNGL],MU2[MU-QLTY_OPEN]}",400,5,55,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-96,,,,,MU-QLTY_OPEN,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"4,5,6,7,8,9,10,11,12,13,14,15",,MU-QLTY_SNGL,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"12,13,14,15",,,,,,,,,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU3,MU,.ge.,+3.0000000000000000E+00,0,,,,,,,MU2,MU,.ge.,+2.0000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,"comb{MU5[MU-QLTY_SNGL],MU3[MU-QLTY_SNGL],MU0[MU-QLTY_OPEN]} AND mass_inv{MU5[MU-QLTY_SNGL],MU3[MU-QLTY_SNGL]}[MASS_MASS_0to9,CHGCOR_OS]",387,2,108,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-78,,,,,MU-QLTY_OPEN,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"4,5,6,7,8,9,10,11,12,13,14,15",,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MU-QLTY_SNGL,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"12,13,14,15",,MASS_MASS_0to9,,MASS,+0.0000000000000000E+00,+9.0000000000000000E+00,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU0,MU,.ge.,+0.0000000000000000E+00,0,,,,,,,MU3,MU,.ge.,+3.0000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,"comb{MU5[MU-QLTY_SNGL],MU3[MU-QLTY_SNGL],MU0[MU-QLTY_DBLE]} AND mass_inv{MU5[MU-QLTY_SNGL],MU3[MU-QLTY_SNGL]}[MASS_MASS_0to9,CHGCOR_OS]",388,2,109,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-78,,,,,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MU-QLTY_SNGL,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"12,13,14,15",,MASS_MASS_0to9,,MASS,+0.0000000000000000E+00,+9.0000000000000000E+00,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU0,MU,.ge.,+0.0000000000000000E+00,0,,,,,,,MU3,MU,.ge.,+3.0000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5_0_0,"comb{MU5[MU-QLTY_DBLE],MU0[MU-QLTY_DBLE],MU0[MU-QLTY_DBLE]}",42,1,65,slim:,,,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU0,MU,.ge.,+0.0000000000000000E+00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_TripleMu_5_3_3,"comb{MU5[MU-QLTY_DBLE],MU3[MU-QLTY_DBLE],MU3[MU-QLTY_DBLE]}",43,4,62,Susy:,,,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU3,MU,.ge.,+3.0000000000000000E+00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_TripleMu_5_3p5_2p5,"comb{MU5[MU-QLTY_DBLE],MU3p5[MU-QLTY_DBLE],MU2p5[MU-QLTY_DBLE]}",398,5,56,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-96,,,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU2p5,MU,.ge.,+2.5000000000000000E+00,0,,,,,,,MU3p5,MU,.ge.,+3.5000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,"comb{MU5[MU-QLTY_DBLE],MU3p5[MU-QLTY_DBLE],MU2p5[MU-QLTY_DBLE]} AND mass_inv{MU5[MU-QLTY_DBLE],MU2p5[MU-QLTY_DBLE]}[MASS_MASS_5to17,CHGCOR_OS]",385,5,57,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-78,,,,,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MASS_MASS_5to17,,MASS,+5.0000000000000000E+00,+1.7000000000000000E+01,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU2p5,MU,.ge.,+2.5000000000000000E+00,0,,,,,,,MU3p5,MU,.ge.,+3.5000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,"comb{MU5[MU-QLTY_DBLE],MU4[MU-QLTY_DBLE],MU2p5[MU-QLTY_DBLE]} AND mass_inv{MU5[MU-QLTY_DBLE],MU2p5[MU-QLTY_DBLE]}[MASS_MASS_5to17,CHGCOR_OS]",386,5,58,Bphys: https://its.cern.ch/jira/browse/CMSLITDPG-78,,,,,CHGCOR_OS,,CHGCOR,+0.0000000000000000E+00,+0.0000000000000000E+00,os,,MASS_MASS_5to17,,MASS,+5.0000000000000000E+00,+1.7000000000000000E+01,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU4,MU,.ge.,+4.0000000000000000E+00,0,,,,,,,MU2p5,MU,.ge.,+2.5000000000000000E+00,0,,,,,,,,,,,,,,,,,
L1_TripleMu_5_5_3,"comb{MU5[MU-QLTY_DBLE],MU5[MU-QLTY_DBLE],MU3[MU-QLTY_DBLE]}",44,1,66,slim:,,,,,MU-QLTY_DBLE,MU,QLTY,+0.0000000000000000E+00,+0.0000000000000000E+00,"8,9,10,11,12,13,14,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,MU5,MU,.ge.,+5.0000000000000000E+00,0,MU3,MU,.ge.,+3.0000000000000000E+00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_UnpairedBunchBptxMinus,EXT_BPTX_B2NotB1_VME,479,4,2,BRIL: bit10 ref: https://twiki.cern.ch/twiki/bin/view/CMS/AndreyPozdnyakovBPTXCableNames,EXT_BPTX_B2NotB1_VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_UnpairedBunchBptxPlus,EXT_BPTX_B1NotB2_VME,478,1,3,BRIL: bit09 ref: https://twiki.cern.ch/twiki/bin/view/CMS/AndreyPozdnyakovBPTXCableNames,EXT_BPTX_B1NotB2_VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_ZeroBias,EXT_ZeroBias_BPTX_AND_VME,473,0,8,BRIL: bit04 ref: https://twiki.cern.ch/twiki/bin/view/CMS/AndreyPozdnyakovBPTXCableNames,EXT_ZeroBias_BPTX_AND_VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1_ZeroBias_copy,EXT_ZeroBias_BPTX_AND_VME,468,0,12,BRIL: bit04 - to be used for BX mask if needed,EXT_ZeroBias_BPTX_AND_VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
